2018-02-09 15:38:34.2567149 +0000 GMT m=+0.010008601  - log file successfully created
2018-02-09 15:38:34.2617193 +0000 GMT m=+0.015013001  - config json file loaded
2018-02-09 15:38:34.2617193 +0000 GMT m=+0.015013001  - config file decoded
2018-02-09 15:38:34.2617193 +0000 GMT m=+0.015013001  - connected to CRM database
2018-02-09 15:38:34.7288093 +0000 GMT m=+0.482103001  - CRM db ping
2018-02-09 15:38:34.7288093 +0000 GMT m=+0.482103001  - connected to sage database
2018-02-09 15:38:35.0172002 +0000 GMT m=+0.770493901  - sageDB ping
2018-02-09 15:38:35.0172002 +0000 GMT m=+0.770493901  - func main initialised
2018-02-09 15:38:35.0224327 +0000 GMT m=+0.775726401  - opened salesreps.json
2018-02-09 15:38:35.098058 +0000 GMT m=+0.851351701  - sales areas obtained from CRM db
2018-02-09 15:38:35.098058 +0000 GMT m=+0.851351701  - area map created
2018-02-09 15:38:35.098058 +0000 GMT m=+0.851351701   salesrep names obtained from json file
2018-02-09 15:38:35.098058 +0000 GMT m=+0.851351701  - arealist created
2018-02-09 15:38:35.2613478 +0000 GMT m=+1.014641501  - sql1 executed
2018-02-09 15:38:35.3154738 +0000 GMT m=+1.068767501  - sql2 executed
2018-02-09 15:38:35.3154738 +0000 GMT m=+1.068767501  - quotes append worked
2018-02-09 15:38:35.3604454 +0000 GMT m=+1.113739101  - sql2 executed
2018-02-09 15:38:35.3604454 +0000 GMT m=+1.113739101  - quotes append worked
2018-02-09 15:38:35.3604454 +0000 GMT m=+1.113739101  - quotes append worked
2018-02-09 15:38:35.3671776 +0000 GMT m=+1.120471301  - quotationsummary.tpl parsed
2018-02-09 15:38:35.3676777 +0000 GMT m=+1.120971401  - t.Execute successful
2018-02-09 15:38:35.3676777 +0000 GMT m=+1.120971401   salesrep names obtained from json file
2018-02-09 15:38:35.3676777 +0000 GMT m=+1.120971401  - arealist created
2018-02-09 15:38:35.4610848 +0000 GMT m=+1.214378501  - sql1 executed
2018-02-09 15:38:35.4610848 +0000 GMT m=+1.214378501  - quotes append worked
2018-02-09 15:38:35.4612459 +0000 GMT m=+1.214539601  - quotationsummary.tpl parsed
2018-02-09 15:38:35.4612459 +0000 GMT m=+1.214539601  - t.Execute successful
2018-02-09 15:38:35.4617464 +0000 GMT m=+1.215040101   salesrep names obtained from json file
2018-02-09 15:38:35.4617464 +0000 GMT m=+1.215040101  - arealist created
2018-02-09 15:38:35.5498081 +0000 GMT m=+1.303101801  - sql1 executed
2018-02-09 15:38:35.5953936 +0000 GMT m=+1.348687301  - sql2 executed
2018-02-09 15:38:35.5953936 +0000 GMT m=+1.348687301  - quotes append worked
2018-02-09 15:38:35.6784537 +0000 GMT m=+1.431747401  - sql2 executed
2018-02-09 15:38:35.6784537 +0000 GMT m=+1.431747401  - quotes append worked
2018-02-09 15:38:35.7640118 +0000 GMT m=+1.517305501  - sql2 executed
2018-02-09 15:38:35.7640118 +0000 GMT m=+1.517305501  - quotes append worked
2018-02-09 15:38:35.7645124 +0000 GMT m=+1.517806101  - quotationsummary.tpl parsed
2018-02-09 15:38:35.7650125 +0000 GMT m=+1.518306201  - t.Execute successful
2018-02-09 15:38:35.7650125 +0000 GMT m=+1.518306201   salesrep names obtained from json file
2018-02-09 15:38:35.7650125 +0000 GMT m=+1.518306201  - arealist created
2018-02-09 15:38:35.8525753 +0000 GMT m=+1.605869001  - sql1 executed
2018-02-09 15:38:35.8525753 +0000 GMT m=+1.605869001  - quotationsummary.tpl parsed
2018-02-09 15:38:35.8530754 +0000 GMT m=+1.606369101  - t.Execute successful
2018-02-09 15:38:35.8530754 +0000 GMT m=+1.606369101   salesrep names obtained from json file
2018-02-09 15:38:35.853576 +0000 GMT m=+1.606869701  - arealist created
2018-02-09 15:38:35.9406382 +0000 GMT m=+1.693931901  - sql1 executed
2018-02-09 15:38:35.9406382 +0000 GMT m=+1.693931901  - quotes append worked
2018-02-09 15:38:35.9411403 +0000 GMT m=+1.694434001  - quotationsummary.tpl parsed
2018-02-09 15:38:35.9416405 +0000 GMT m=+1.694934201  - t.Execute successful
2018-02-09 15:38:35.9416405 +0000 GMT m=+1.694934201   salesrep names obtained from json file
2018-02-09 15:38:35.9416405 +0000 GMT m=+1.694934201  - arealist created
2018-02-09 15:38:36.0297191 +0000 GMT m=+1.783012801  - sql1 executed
2018-02-09 15:38:36.0757364 +0000 GMT m=+1.829030101  - sql2 executed
2018-02-09 15:38:36.0762334 +0000 GMT m=+1.829527101  - quotes append worked
2018-02-09 15:38:36.0762334 +0000 GMT m=+1.829527101  - quotes append worked
2018-02-09 15:38:36.1352761 +0000 GMT m=+1.888569801  - sql2 executed
2018-02-09 15:38:36.1352761 +0000 GMT m=+1.888569801  - quotes append worked
2018-02-09 15:38:36.1357763 +0000 GMT m=+1.889070001  - quotationsummary.tpl parsed
2018-02-09 15:38:36.1362768 +0000 GMT m=+1.889570501  - t.Execute successful
2018-02-09 15:38:36.1362768 +0000 GMT m=+1.889570501   salesrep names obtained from json file
2018-02-09 15:38:36.1362768 +0000 GMT m=+1.889570501  - arealist created
2018-02-09 15:38:36.2248395 +0000 GMT m=+1.978133201  - sql1 executed
2018-02-09 15:38:36.2248395 +0000 GMT m=+1.978133201  - quotes append worked
2018-02-09 15:38:36.2253404 +0000 GMT m=+1.978634101  - quotationsummary.tpl parsed
2018-02-09 15:38:36.2263403 +0000 GMT m=+1.979634001  - t.Execute successful
2018-02-09 15:38:36.2263403 +0000 GMT m=+1.979634001   salesrep names obtained from json file
2018-02-09 15:38:36.2263403 +0000 GMT m=+1.979634001  - arealist created
2018-02-09 15:38:36.3154035 +0000 GMT m=+2.068697201  - sql1 executed
2018-02-09 15:38:36.3159057 +0000 GMT m=+2.069199401  - quotationsummary.tpl parsed
2018-02-09 15:38:36.3164042 +0000 GMT m=+2.069697901  - t.Execute successful
2018-02-09 15:38:36.3164042 +0000 GMT m=+2.069697901  - emails sent
